"Title:","Average Weekly Earnings of All Employees from the State and Metro Area Employment, Hours, and Earnings Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/2007 - 09/2022"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Citation:","Bureau of Labor Statistics (2022-11-01). State and Metro Area Employment, Hours, and Earnings: Average Weekly Earnings of All Employees | Alabama, California, Florida, New York, North Carolina, North Dakota, Texas, Vermont, West Virginia | Non-Seasonally Adjusted | Total Private | Goods Producing | Private Service Providing | Construction | Manufacturing | Trade, Transportation, and Utilities | Financial Activities | Professional and Business Services | Education and Health Services | Leisure and Hospitality | Other Services | Information | Mining and Logging | Mining, Logging, and Construction, 01/2007 - 09/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-030-007 doi:https://doi.org/10.6068/DP184668EB4F683"
"ColumnCount:",103
"RowCount:",174

"Time","Alabama, Non-Seasonally Adjusted, Total Private ($)","Alabama, Non-Seasonally Adjusted, Goods Producing ($)","Alabama, Non-Seasonally Adjusted, Private Service Providing ($)","Alabama, Non-Seasonally Adjusted, Construction ($)","Alabama, Non-Seasonally Adjusted, Manufacturing ($)","Alabama, Non-Seasonally Adjusted, Trade, Transportation, and Utilities ($)","Alabama, Non-Seasonally Adjusted, Financial Activities ($)","Alabama, Non-Seasonally Adjusted, Professional and Business Services ($)","Alabama, Non-Seasonally Adjusted, Education and Health Services ($)","Alabama, Non-Seasonally Adjusted, Leisure and Hospitality ($)","Alabama, Non-Seasonally Adjusted, Other Services ($)","California, Non-Seasonally Adjusted, Total Private ($)","California, Non-Seasonally Adjusted, Goods Producing ($)","California, Non-Seasonally Adjusted, Private Service Providing ($)","California, Non-Seasonally Adjusted, Construction ($)","California, Non-Seasonally Adjusted, Manufacturing ($)","California, Non-Seasonally Adjusted, Trade, Transportation, and Utilities ($)","California, Non-Seasonally Adjusted, Information ($)","California, Non-Seasonally Adjusted, Financial Activities ($)","California, Non-Seasonally Adjusted, Professional and Business Services ($)","California, Non-Seasonally Adjusted, Education and Health Services ($)","California, Non-Seasonally Adjusted, Leisure and Hospitality ($)","California, Non-Seasonally Adjusted, Other Services ($)","Florida, Non-Seasonally Adjusted, Total Private ($)","Florida, Non-Seasonally Adjusted, Goods Producing ($)","Florida, Non-Seasonally Adjusted, Private Service Providing ($)","Florida, Non-Seasonally Adjusted, Construction ($)","Florida, Non-Seasonally Adjusted, Manufacturing ($)","Florida, Non-Seasonally Adjusted, Trade, Transportation, and Utilities ($)","Florida, Non-Seasonally Adjusted, Financial Activities ($)","Florida, Non-Seasonally Adjusted, Professional and Business Services ($)","Florida, Non-Seasonally Adjusted, Education and Health Services ($)","Florida, Non-Seasonally Adjusted, Leisure and Hospitality ($)","Florida, Non-Seasonally Adjusted, Other Services ($)","New York, Non-Seasonally Adjusted, Total Private ($)","New York, Non-Seasonally Adjusted, Goods Producing ($)","New York, Non-Seasonally Adjusted, Private Service Providing ($)","New York, Non-Seasonally Adjusted, Construction ($)","New York, Non-Seasonally Adjusted, Manufacturing ($)","New York, Non-Seasonally Adjusted, Trade, Transportation, and Utilities ($)","New York, Non-Seasonally Adjusted, Information ($)","New York, Non-Seasonally Adjusted, Financial Activities ($)","New York, Non-Seasonally Adjusted, Professional and Business Services ($)","New York, Non-Seasonally Adjusted, Education and Health Services ($)","New York, Non-Seasonally Adjusted, Leisure and Hospitality ($)","New York, Non-Seasonally Adjusted, Other Services ($)","North Carolina, Non-Seasonally Adjusted, Total Private ($)","North Carolina, Non-Seasonally Adjusted, Goods Producing ($)","North Carolina, Non-Seasonally Adjusted, Private Service Providing ($)","North Carolina, Non-Seasonally Adjusted, Construction ($)","North Carolina, Non-Seasonally Adjusted, Manufacturing ($)","North Carolina, Non-Seasonally Adjusted, Trade, Transportation, and Utilities ($)","North Carolina, Non-Seasonally Adjusted, Information ($)","North Carolina, Non-Seasonally Adjusted, Financial Activities ($)","North Carolina, Non-Seasonally Adjusted, Professional and Business Services ($)","North Carolina, Non-Seasonally Adjusted, Education and Health Services ($)","North Carolina, Non-Seasonally Adjusted, Leisure and Hospitality ($)","North Carolina, Non-Seasonally Adjusted, Other Services ($)","North Dakota, Non-Seasonally Adjusted, Total Private ($)","North Dakota, Non-Seasonally Adjusted, Goods Producing ($)","North Dakota, Non-Seasonally Adjusted, Private Service Providing ($)","North Dakota, Non-Seasonally Adjusted, Construction ($)","North Dakota, Non-Seasonally Adjusted, Manufacturing ($)","North Dakota, Non-Seasonally Adjusted, Trade, Transportation, and Utilities ($)","North Dakota, Non-Seasonally Adjusted, Financial Activities ($)","North Dakota, Non-Seasonally Adjusted, Professional and Business Services ($)","North Dakota, Non-Seasonally Adjusted, Education and Health Services ($)","North Dakota, Non-Seasonally Adjusted, Leisure and Hospitality ($)","North Dakota, Non-Seasonally Adjusted, Other Services ($)","Texas, Non-Seasonally Adjusted, Total Private ($)","Texas, Non-Seasonally Adjusted, Goods Producing ($)","Texas, Non-Seasonally Adjusted, Private Service Providing ($)","Texas, Non-Seasonally Adjusted, Construction ($)","Texas, Non-Seasonally Adjusted, Manufacturing ($)","Texas, Non-Seasonally Adjusted, Trade, Transportation, and Utilities ($)","Texas, Non-Seasonally Adjusted, Financial Activities ($)","Texas, Non-Seasonally Adjusted, Professional and Business Services ($)","Texas, Non-Seasonally Adjusted, Education and Health Services ($)","Texas, Non-Seasonally Adjusted, Leisure and Hospitality ($)","Texas, Non-Seasonally Adjusted, Other Services ($)","Vermont, Non-Seasonally Adjusted, Total Private ($)","Vermont, Non-Seasonally Adjusted, Goods Producing ($)","Vermont, Non-Seasonally Adjusted, Private Service Providing ($)","Vermont, Non-Seasonally Adjusted, Construction ($)","Vermont, Non-Seasonally Adjusted, Manufacturing ($)","Vermont, Non-Seasonally Adjusted, Trade, Transportation, and Utilities ($)","Vermont, Non-Seasonally Adjusted, Professional and Business Services ($)","Vermont, Non-Seasonally Adjusted, Education and Health Services ($)","Vermont, Non-Seasonally Adjusted, Leisure and Hospitality ($)","West Virginia, Non-Seasonally Adjusted, Total Private ($)","West Virginia, Non-Seasonally Adjusted, Goods Producing ($)","West Virginia, Non-Seasonally Adjusted, Private Service Providing ($)","West Virginia, Non-Seasonally Adjusted, Mining and Logging ($)","West Virginia, Non-Seasonally Adjusted, Mining, Logging, and Construction ($)","West Virginia, Non-Seasonally Adjusted, Construction ($)","West Virginia, Non-Seasonally Adjusted, Manufacturing ($)","West Virginia, Non-Seasonally Adjusted, Trade, Transportation, and Utilities ($)","West Virginia, Non-Seasonally Adjusted, Financial Activities ($)","West Virginia, Non-Seasonally Adjusted, Professional and Business Services ($)","West Virginia, Non-Seasonally Adjusted, Education and Health Services ($)","West Virginia, Non-Seasonally Adjusted, Leisure and Hospitality ($)","West Virginia, Non-Seasonally Adjusted, Other Services ($)"
"01/2007",696.49,805.15,658.95,752.69,858.57,599.4,766.46,811.16,734.73,255.45,542.91,848.52,928.46,829.34,924.86,929.02,716.39,1204.63,1391.13,1077.78,787.41,360.18,563.31,711.39,829.86,690.5,795.14,879.45,632.02,842.21,764.66,773.78,389.07,639.01,856.99,940.69,843.15,1070.73,871.93,738.36,1092.48,1292.2,1055.92,743.68,459.22,677.35,662.2,728.5,642.55,691.04,747.16,598.4,1063.87,997.03,840.35,605.73,288.29,552.11,598.84,762.78,565.75,785.34,687.46,640.72,691.17,671.25,587.21,195.94,388.62,756.15,950.9,705.16,998.15,901.07,1102.42,966.75,910.44,810.15,304.41,463.93,664.33,794.62,629.56,847.2,776.06,529.97,805.7,752.32,369.31,606.14,874.03,531.22,1062.59,873.83,725.78,874.2,502.3,572.8,704.36,578.91,249.24,451.17
"02/2007",698.3,790.22,665.55,752.13,859.41,596.88,770.6,811.3,750.36,252.72,561.91,841.5,913.16,824.84,879.96,933.75,704.81,1184.35,1362.6,1094.18,787.73,357.63,561.51,723.52,824.18,704.28,780.86,886.19,657.57,874.16,797.16,778.68,405.82,637.43,858.48,922.78,848.68,1063.56,852.3,744.86,1086.9,1287.56,1094.07,740.28,452.1,667.82,668.39,729.57,650.76,704.16,744.2,595,1042.28,1060.49,854.66,609.7,292.72,560.38,593.57,762.78,558.87,798.13,689.19,629.18,634.37,674.35,588.69,195.64,377.75,760.85,937.42,715.1,954.17,921.89,1149.36,974.41,954.75,819.75,319.35,515.95,664.95,745.36,644.97,726.6,760.91,540.71,850.02,741.51,406.08,583.7,862.75,508.2,1063.51,879.35,729.27,843.8,485.81,577.51,690.06,571.87,250.98,454.48
"03/2007",710.04,818.98,670.78,752.27,857.74,602.15,756.74,824.11,737.67,256.88,557.66,849.53,934.99,830.99,895.35,957.66,714.47,1229.24,1341.61,1102.79,788.06,356.06,572.58,712,834.77,690.12,821.72,858.11,640.86,852.32,790.61,775.07,399.04,576.98,856.49,943.5,844.82,1081.35,873.95,748.65,1058.83,1283.65,1065.15,747.52,459.53,663.35,678.25,756.8,654.04,717.89,777.49,591.32,1054.67,1128.06,844.1,617.41,295,552.01,592.6,783.66,553.73,761.42,729.41,618.2,622.17,666.54,584.58,199.39,396.72,762.73,941.44,715.14,980.36,899.51,1093.79,965.12,948.31,805.34,312.68,503.59,693.55,761.46,675.38,731.75,781.19,553.07,841.45,748.26,380.69,591.36,873.5,513.22,1079.17,893.15,753.13,850.31,495.61,578.55,686.4,578.67,258.82,460.11
"04/2007",718.7,820.63,684.47,750.05,861.46,601.79,793.17,826.24,741.34,256.76,566.16,865.07,946.74,846.94,900.01,976.61,729.25,1255.99,1395,1103.88,804.08,377.19,595.04,721.8,828.89,701.75,814.32,846.45,646.93,868.95,849.73,779.04,397.97,587.18,869.72,948.4,859.61,1065.65,888.03,752.44,1067,1331.89,1111.86,742.62,463.01,688.42,678.65,739.1,660.65,705.22,755.63,586.16,1096.86,1130.81,877.15,618.73,299.47,554.44,608.44,785.66,570.29,786.21,723.52,643.54,684.46,687.66,582.8,209.03,378,781.71,975.24,732.19,972.16,918.6,1218.05,990.01,952.64,812.93,310.8,507.52,688.49,768.74,665.93,745.92,785.12,545.94,841.94,749.01,406.27,606.27,881.27,528.7,1057.49,903.84,790.74,855.97,509.43,586.69,711.7,592.37,255.76,460.35
"05/2007",712.71,822.12,676.03,750.88,857.74,598.32,772.79,820.37,732.53,257.14,564.38,846.52,958.08,821.97,924.26,979.09,724,1162.46,1288.36,1087.56,790.08,366.96,571.27,714.29,810.43,697.68,778.48,849.79,656.2,837.16,841.13,774.65,390.32,592.28,851.57,957.45,836.5,1088.48,886.01,740.96,1051.7,1276.41,1078.41,728.61,461.72,671.81,665.89,745.55,640.43,714.36,760.92,579.64,1032.17,1013.86,830.37,625.6,320.8,554.2,602.42,810.78,556.3,895.86,711.14,651.01,645.84,661.17,556.93,206.4,412.13,762.01,929.41,718.64,945.41,932.14,1225.6,962.41,926.01,800.72,312.75,506.86,689.5,774.5,666.5,802.8,763.78,559.31,844.92,749.07,409.85,600.31,874.73,523.76,1061.42,900.13,785.39,846.3,499.8,586.91,705.95,590.3,251.24,456.35
