"Title:","Average Weekly Earnings of All Employees from the State and Metro Area Employment, Hours, and Earnings Database"
"SubTitle:","MSA (BLS) - Seasonally Adjusted: Non-Seasonally Adjusted - Industry: Total Private"
"Time:","01/2007 - 09/2022"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Citation:","Bureau of Labor Statistics (2022-11-01). State and Metro Area Employment, Hours, and Earnings: Average Weekly Earnings of All Employees | Albany-Schenectady-Troy, NY, Binghamton, NY, Boston-Cambridge-Newton, MA NECTA Division, Brockton-Bridgewater-Easton, MA NECTA Division, Buffalo-Niagara Falls, NY, Camden, NJ Metropolitan Division, Dutchess County-Putnam County, NY Metropolitan Division, Lowell-Billerica-Chelmsford, MA-NH NECTA Division, Nassau County-Suffolk County, NY Metropolitan Division, New York City, NY, Newark, NJ-PA Metropolitan Division, Rochester, NY, Syracuse, NY | Non-Seasonally Adjusted | Total Private, 01/2007 - 09/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-030-007 doi:https://doi.org/10.6068/DP184668CE20782"
"ColumnCount:",14
"RowCount:",174

"Time","Albany-Schenectady-Troy, NY, New York, Non-Seasonally Adjusted, Total Private ($)","Binghamton, NY, New York, Non-Seasonally Adjusted, Total Private ($)","Boston-Cambridge-Newton, MA NECTA Division, Massachusetts, Non-Seasonally Adjusted, Total Private ($)","Brockton-Bridgewater-Easton, MA NECTA Division, Massachusetts, Non-Seasonally Adjusted, Total Private ($)","Buffalo-Niagara Falls, NY, New York, Non-Seasonally Adjusted, Total Private ($)","Camden, NJ Metropolitan Division, New Jersey, Non-Seasonally Adjusted, Total Private ($)","Dutchess County-Putnam County, NY Metropolitan Division, New York, Non-Seasonally Adjusted, Total Private ($)","Lowell-Billerica-Chelmsford, MA-NH NECTA Division, Massachusetts, Non-Seasonally Adjusted, Total Private ($)","Nassau County-Suffolk County, NY Metropolitan Division, New York, Non-Seasonally Adjusted, Total Private ($)","New York City, NY, New York, Non-Seasonally Adjusted, Total Private ($)","Newark, NJ-PA Metropolitan Division, New Jersey, Non-Seasonally Adjusted, Total Private ($)","Rochester, NY, New York, Non-Seasonally Adjusted, Total Private ($)","Syracuse, NY, New York, Non-Seasonally Adjusted, Total Private ($)"
"01/2007",739.35,660.93,953.82,740.2,661.9,863.07,,1083.39,855.87,963.59,893.86,742.26,709.66
"02/2007",730.91,650.97,982.89,739.44,651.44,851.26,,1086.32,863.21,972.65,892.32,732.49,717.44
"03/2007",736.74,639.71,953.71,768.15,647.63,849.95,,1146.47,848.98,974.99,903.38,755.31,733.85
"04/2007",754.92,654.97,1013.7,765.51,655.04,846.26,,1156.04,868.53,1000,908.77,750.45,765.89
"05/2007",760.28,683.58,990.78,764.94,657.31,845.68,,1121.79,845.92,974.69,902.55,740.3,740.93
"06/2007",767.09,679.83,966.34,823.31,646.82,845.77,,1162.06,848.3,992.17,889.93,732.93,750.74
"07/2007",765.23,703.65,975.47,845.29,640.87,848.18,,1077.12,843.71,1019.58,868.37,721.76,760.27
"08/2007",756.03,721.01,976.82,853.14,662.31,851.42,,1080.28,836.4,1004.28,873.89,714.95,770.87
"09/2007",765.92,722.67,998.98,814.28,663.63,859.69,,1096.99,851.81,1023.07,882.3,719.83,796.49
"10/2007",758.91,728.41,992.88,814.59,643.52,863.14,,1092,847.82,994.39,876.37,702.83,769.19
"11/2007",756,720.9,983.03,813.63,639.54,847.11,,1082.25,854.57,1001.43,873.54,690.23,788.53
"01/2008",745.82,763.15,1002.88,792.61,629.64,815.3,,1086.69,852.16,1071.75,853.7,694.52,781.81
"02/2008",749.15,778.16,1012.7,781.54,635.45,832.28,,1071.71,854.66,1080.46,847.5,683.52,808.15
"03/2008",754.95,816.09,1013.35,752.75,642.71,855.71,,1095.07,865.73,1087.25,866.98,775.38,818.8
"04/2008",759.82,790.94,1007.58,773.18,638.89,859.82,,1085,852.61,1062.18,871.15,741.89,842.52
"05/2008",756.68,802.19,973.85,760.37,628.87,835.44,,1085.01,846.48,1071.2,859.01,745.85,837.41
"06/2008",750.54,833.82,987.85,768.66,642.55,837.67,,1098.49,846.93,1085.26,873.26,742.62,828.14
"07/2008",762.45,818.27,980.54,755.29,636.92,845.2,,1069.75,846.45,1076.72,862.39,732.15,799.88
"08/2008",761.46,820.23,1008.56,778.62,657.36,833.98,,1089.92,847.55,1086.16,881.66,727.68,808.5
"09/2008",761.94,833.09,1009.12,758.54,659.61,858.13,,1073.6,847.32,1077.93,894.06,726.33,785.51
"10/2008",759.7,831.19,1020.95,779.52,663.98,860.87,,1055.57,835.3,1065,885.36,719.4,793.96
"11/2008",781.79,828.19,1030.84,779.64,654.93,856.6,,1046.15,843.63,1088.32,899.14,731.5,775.63
"01/2009",775.53,821.75,1016.06,774.35,633.02,864.76,,1094.08,828.58,1049.22,870.24,718.09,773.75
"02/2009",776.22,836.44,1029.87,767.12,645.41,878.06,,1071.39,833.4,1066.96,897.51,724.05,792.96
"03/2009",785.57,852.63,1079.68,713.83,642.24,890.67,,1126.22,813.52,1058.97,914.44,719,781.53
"04/2009",787.92,821.34,1036.4,724.14,636.16,884.35,,1124.4,801.6,1035.1,899.3,702.4,786.46
"05/2009",797.33,828.1,1000.61,721.69,647.04,879.8,,1126.32,804.08,1036.69,910.8,696.81,779.48
"06/2009",775.21,823.2,1033.23,706.23,636.85,870.15,,1144.48,802.4,1041.22,892.74,692.62,778.34
"07/2009",778.51,832.02,1045.49,712.42,649.53,908.02,,1101.77,806.1,1045.8,909.49,700.49,782.85
"08/2009",786.69,835.2,1056.39,708.53,655.48,919.7,,1113.84,822.46,1062.88,898.32,706.65,780.49
"09/2009",791.28,831.67,1053.98,668.61,645.86,896.61,,1097.35,827.61,1047.83,909.72,683.93,793.6
"10/2009",789.57,832.02,1070.03,674.75,648.42,890.43,,1089,823.03,1048.75,903.91,685.39,794.24
"11/2009",791.12,834.49,1083.65,700.43,654.88,907.85,,1078.24,830.38,1067.39,914.94,685.73,798.66
"01/2010",779.56,824.34,1087.5,696.28,642,894.78,,1098.16,834.75,1056.96,895.3,696.34,798.66
"02/2010",783.9,836.26,1090.74,692.3,659.37,886.4,,1105.95,823.68,1054.61,904.18,681.35,810.22
"03/2010",773.52,816.27,1096.67,689.61,663.77,899.47,,1148.16,842.63,1048.29,920.7,694.55,789.87
"04/2010",782.56,786.04,1097.26,711.3,673.13,908.42,,1159.21,852.84,1058.27,929.78,684.54,804.04
"05/2010",792.28,820.93,1106.85,715.95,678.22,897.77,,1160.14,858.19,1076.17,936.25,693.24,808.85
"06/2010",770.57,778.32,1089.71,715.29,668.91,904.51,,1176.82,844.9,1055.38,916.55,680.06,810.73
"07/2010",786.22,801.33,1086.97,706.16,681.69,900.46,,1155.32,853.04,1061.55,909.72,688.14,802.84
"08/2010",790.21,784.2,1115.48,688.64,684.7,907.74,,1163.46,862.5,1074.89,923.65,701.85,810.6
"09/2010",788.26,795.32,1087.31,678.93,683.52,895.13,,1185.48,861.96,1045.16,919.27,686.18,810.46
"10/2010",789.91,797.62,1077.98,689.16,695.23,892.25,,1169.94,862.3,1053.84,922.55,688.6,796.7
"11/2010",796.67,796.58,1075.65,686.69,696.65,884.63,,1152.92,845.77,1058.35,918.51,697.75,820.58
"01/2011",798.37,809.53,1111.8,692.67,696.3,887.25,867.02,1185.91,848.59,1080.16,887.16,695.51,821.82
"02/2011",798.26,802.03,1085.95,711.76,697.3,882.76,882.75,1153.03,833.17,1060.14,893.42,681.91,808.86
"03/2011",826.32,802.75,1073.18,726.36,694.88,876.62,874.12,1129.21,840.18,1061.57,887.16,684.42,815.33
"04/2011",838.18,793.26,1083.29,751.1,698.53,870.69,892.42,1145.14,852.44,1069.4,897.41,676.34,809.33
"05/2011",867.91,811.63,1086.16,776.53,691.79,867.44,917.23,1150.55,863.89,1092.7,907.01,664.58,801.57
"06/2011",884.1,797.39,1058.27,788.54,692.22,843.05,880.53,1116.95,856.8,1069.06,885.7,664.2,799.91
"07/2011",909.33,818.84,1068.32,788.44,701.06,832.68,890.5,1128.53,880.64,1075.2,892.28,668.32,794.82
"08/2011",926.06,814.41,1055.04,801.4,695.21,834.88,890.35,1124.73,870.73,1076.6,885.46,674.01,789.09
"09/2011",952.86,848.74,1074.36,804,705.03,828.8,900.4,1110.8,882.54,1083.65,907.01,682.06,798.35
"10/2011",955.86,863.1,1084.27,787.29,718.12,896.73,915.08,1145.01,887.15,1102.49,941.95,691.82,809.76
"11/2011",990.59,874.7,1073.18,812.94,725.09,867.9,926.46,1117.86,881.83,1071.22,922.95,682.73,790.05
"01/2012",950.43,878.82,1096.37,811.76,719.23,885.76,938.85,1209.69,902.97,1102.46,948.65,692.72,795.53
"02/2012",947.03,848.45,1082.58,775.45,710.98,883.12,916.74,1176.05,879.81,1072.56,934.99,685.03,785.57
"03/2012",954.27,849.3,1076.02,784.55,720.29,872.83,933.2,1144.37,874.52,1069.78,944.28,675.84,774.41
"04/2012",960.15,858.39,1110.44,808.6,721.6,875.5,954.75,1161.25,899.64,1098.2,980,679.94,783.96
"05/2012",949.98,828.01,1080.09,819.04,710.92,862.14,955.42,1120.91,885.56,1066.73,933.96,661.05,775.18
"06/2012",945.44,824.5,1074.84,795.26,708.99,861.3,960.39,1103.39,892.06,1076.41,929.14,663.48,789.77
"07/2012",955.68,839.79,1107.89,797.4,714.48,870.51,983.94,1129.96,903.56,1101.79,975.79,679.71,795.87
"08/2012",944.65,828.24,1085.62,792,701.8,860.6,984.28,1091.32,895.3,1080.2,944.61,666.75,789.79
"09/2012",936.12,830.96,1125.54,818.51,717.76,884.73,1015.32,1154.75,910.4,1106,971.62,676.99,815.72
"10/2012",926.59,830.61,1095.29,794.63,709.78,891.77,1020.7,1107.45,892.42,1080.16,944.28,661.07,807.65
"11/2012",920.12,851.79,1105,803.67,695.5,893.77,1041.91,1113.31,901.68,1091.58,963.62,657.46,807.82
"01/2013",903.77,850.84,1126.66,798.37,693.26,888.69,1031.21,1096.56,895.1,1102.4,955.94,676.7,816.06
"02/2013",906.3,818.74,1146.55,768.74,700.88,867.2,1021.98,1084.16,892.44,1098.05,961.82,679.56,809.29
"03/2013",902.7,828.35,1135.78,802.55,707.52,872.52,1025.1,1157.26,891.7,1090.4,962.23,681.35,812.75
"04/2013",913.07,842.84,1132.02,812.27,703.94,869.22,1007.31,1131.3,893.33,1091.66,953.44,675.29,819.67
"05/2013",904.38,830.42,1125.04,815.1,706.28,865.92,988.31,1115.88,897.33,1085.17,945.63,673.09,808.74
"06/2013",902.09,838.68,1153.08,837.54,705.32,868.88,967.17,1131.44,904.49,1129.52,953.91,682.64,812.33
"07/2013",900.03,842.73,1128.47,839.16,711.68,868.23,966.83,1128.58,891.23,1109.97,933.3,687.02,815.45
"08/2013",902.43,834.94,1134.88,850.74,719.28,870.87,967.86,1142.4,890.8,1107.28,939.47,699.13,817.25
"09/2013",910.91,847.88,1181.6,863.62,729.66,884.4,989.36,1188.18,900.83,1129.36,963.59,709.7,814.28
"10/2013",918.86,838.95,1154.26,853.74,729.33,881.43,963.44,1152.94,880.49,1088.47,941.84,706.23,825.59
"11/2013",902.43,829.22,1157.22,851.78,725.14,880.38,963.22,1155.62,883.53,1094.4,949.28,693.91,815.66
"01/2014",895.81,838.7,1148.52,847.79,726.41,868.56,918.86,1157.82,878.42,1090.56,936.94,704.6,807.95
"02/2014",885.41,844.73,1166.56,842.5,729.21,843.05,921.2,1163.75,864.9,1122.13,946.85,714.74,788.91
"03/2014",884.55,850.31,1166.5,840.94,719.32,872.5,932.14,1162.16,875.28,1124.36,962.05,707.2,804.1
"04/2014",889.78,848.45,1139.54,871.64,736.36,888.11,907.16,1080.92,871,1106.55,939.08,718.5,812.89
"05/2014",892.14,847.52,1138.18,886.93,741.48,882.67,868.23,1054.47,866.54,1103.82,924.09,708.59,814.65
"06/2014",893.42,843.09,1138.85,871.65,758.02,902.76,875.16,1087.22,866.09,1145.96,929.54,699.84,817.02
"07/2014",887.4,844.74,1123.81,889.68,767.93,916.61,850.18,1065.28,862.05,1113.04,918.68,702.65,806.81
"08/2014",901.97,845.09,1141.5,868.51,765.55,921.39,858.47,1033.6,856.93,1112.28,911.91,715.8,815.32
"09/2014",920.81,843.12,1158.94,870.18,768.85,929.54,851.78,1035.23,853.7,1116.12,920.37,733.26,809.2
"10/2014",912.53,828.77,1160.41,877.44,769.78,915.97,858.28,1037.68,848.48,1118.6,920.98,737.34,804.62
"11/2014",909.08,838.8,1195.76,894.35,781.89,931.61,882.88,1034.74,855.04,1169.39,948.86,744.2,829.31
"01/2015",890.69,821.63,1187.36,861.94,776.11,928.1,871.42,1056.77,863.53,1139.04,939.23,741.57,835.85
"02/2015",892.38,812.06,1210,823.05,780.22,937.27,863.21,1060.21,874.75,1172.66,966.14,754.65,836.47
"03/2015",887.66,804.45,1214.06,861.62,793.97,956.66,867.31,1067.09,873.6,1171.28,964.65,746.07,835.72
"04/2015",883.01,812.08,1201.1,840.7,785.21,935.58,865.39,1064.33,876.96,1150.88,951.13,746.78,836.06
"05/2015",891.57,792.2,1206.06,839.45,778.75,946.9,878.5,1073.98,878.56,1143.31,954.85,749.15,829.99
"06/2015",880.42,800.63,1199.13,823,765.07,936.66,856.13,1078.85,869.8,1144.25,957.42,726.4,823.63
"07/2015",877.08,788.74,1201.94,817.45,773.81,933.89,847.35,1073.27,886.94,1143.91,949.54,737.1,820.42
"08/2015",874.17,780.88,1234.36,822.31,777.46,950.03,844.12,1142.31,893.71,1187.55,959.57,749.13,827.64
"09/2015",876.42,801.85,1212.6,822.5,761.94,945.17,865.17,1094.74,886.81,1146.44,948.09,746.5,823.51
"10/2015",875.83,784.04,1228.62,851.51,774.89,949.05,879.13,1118.64,879.14,1143.71,942.14,774.84,851.57
"11/2015",886.75,790.17,1264.28,882.78,776.22,952.47,908.01,1133.55,886.91,1184.7,954.04,778.74,841.34
"01/2016",865.86,814.2,1244.13,891.41,758.81,952.07,877.74,1074.19,874.74,1154.63,930.86,782.6,852.61
